('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:5(<module>)
       94    0.000    0.000    0.001    0.000 element.py:2076(_matches)
       16    0.000    0.000    0.001    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:4(<module>)
       50    0.000    0.000    0.000    0.000 enum.py:947(__or__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     1985    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 client.py:204(parse_headers)
        1    0.000    0.000    0.000    0.000 ntpath.py:2(<module>)
      389    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      134    0.000    0.000    0.000    0.000 __init__.py:604(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 netrc.py:1(<module>)
     1487    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 idna.py:3(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
     4043    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 cookiejar.py:1243(CookieJar)
        1    0.000    0.000    0.000    0.000 escprober.py:28(<module>)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 adapters.py:3(<module>)
     1245    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
      336    0.000    0.000    0.000    0.000 enum.py:438(__setattr__)
     3822    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
        1    0.000    0.000    0.000    0.000 request.py:937(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 adapters.py:292(get_connection)
     3956    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
  195/159    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
     1245    0.000    0.000    0.000    0.000 __init__.py:434(set_up_substitutions)
