('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         335648 function calls (327492 primitive calls) in 1.116 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      523    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:487(_decref_socketios)
        2    0.000    0.000    0.000    0.000 socket.py:497(close)
     1970    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      848    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
     1338    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
     1622    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      135    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     1300    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
        1    0.000    0.000    0.000    0.000 parse.py:1032(_splittype)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      650    0.000    0.000    0.000    0.000 socket.py:729(readable)
        1    0.000    0.000    0.000    0.000 request.py:2486(getproxies_environment)
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
      231    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 element.py:1494(__unicode__)
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 element.py:1536(decode)
        1    0.000    0.000    0.000    0.000 parse.py:1053(_splithost)
      214    0.000    0.000    0.000    0.000 types.py:171(__get__)
       92    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
